baker,series,episode,technical,result,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Janet,2,1,8,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
Jason,2,1,6,IN,White,19,Civil Engineering Student,Croydon,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,NA
Joanne,2,1,11,IN,NA,NA,NA,NA,NA,NA
Mary-Anne,2,1,4,IN,Boermans,45,Housewife,"Kidderminster, Worcestershire",Banoffee Cupcakes,Chocolate and Raspberry Opera cake
Robert,2,1,3,IN,Billington,25,Photographer,London,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
Simon,2,1,9,IN,Blackwell,31,Rugby Coach,Norfolk,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
Urvashi,2,1,7,IN,Roe,40,Head of Marketing,"Enfield, London",Cherry Blossom CupcakesJapanese Lime Cupcakes,NA
Yasmin,2,1,5,IN,Limbert,43,Childminder,"West Kirby, The Wirral",Cardamom and Pomegranate Cupcakes,NA
Keith,2,1,12,OUT,Batsford,31,House husband,"Arlesey, Bedfordshire",Earl Grey Cupcakes,Chocolate and Sour Cream Cake
Holly,2,1,1,STAR BAKER,Bell,31,Advertising executive,Leicester,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,NA
Ben,2,2,1,IN,Frazer,31,Graphic Designer,Northampton,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
Holly,2,2,4,IN,Bell,31,Advertising executive,Leicester,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
Ian,2,2,2,IN,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",NA
Janet,2,2,8,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
Joanne,2,2,10,IN,NA,NA,NA,NA,NA,NA
Mary-Anne,2,2,9,IN,Boermans,45,Housewife,"Kidderminster, Worcestershire","Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
Robert,2,2,5,IN,Billington,25,Photographer,London,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
Urvashi,2,2,7,IN,Roe,40,Head of Marketing,"Enfield, London","Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
Yasmin,2,2,6,IN,Limbert,43,Childminder,"West Kirby, The Wirral",Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
Simon,2,2,11,OUT,Blackwell,31,Rugby Coach,Norfolk,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
Jason,2,2,3,STAR BAKER,White,19,Civil Engineering Student,Croydon,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts
Keith,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Ben,2,3,3,IN,Frazer,31,Graphic Designer,Northampton,"Walnut, Raisin and Rosemary Loaf",NA
Holly,2,3,6,IN,Bell,31,Advertising executive,Leicester,Picnic Loaf,Stilton and Walnut Rolls
Janet,2,3,8,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
Jason,2,3,7,IN,White,19,Civil Engineering Student,Croydon,Cheese and Onion Tear and Share Loaf,NA
Joanne,2,3,1,IN,NA,NA,NA,NA,NA,NA
Mary-Anne,2,3,5,IN,Boermans,45,Housewife,"Kidderminster, Worcestershire",Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns
Robert,2,3,4,IN,Billington,25,Photographer,London,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
Ian,2,3,10,OUT,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
Urvashi,2,3,9,OUT,Roe,40,Head of Marketing,"Enfield, London",Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
Yasmin,2,3,2,STAR BAKER,Limbert,43,Childminder,"West Kirby, The Wirral",Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls"
Keith,2,3,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,3,NA,NA,NA,NA,NA,NA,NA,NA
Janet,2,4,4,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
Joanne,2,4,8,IN,NA,NA,NA,NA,NA,NA
Mary-Anne,2,4,2,IN,Boermans,45,Housewife,"Kidderminster, Worcestershire",Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
Robert,2,4,7,IN,Billington,25,Photographer,London,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
Yasmin,2,4,6,IN,Limbert,43,Childminder,"West Kirby, The Wirral",Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
Ben,2,4,5,OUT,Frazer,31,Graphic Designer,Northampton,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
Holly,2,4,3,STAR BAKER,Bell,31,Advertising executive,Leicester,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
Jason,2,4,1,STAR BAKER,White,19,Civil Engineering Student,Croydon,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
Ian,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Holly,2,5,4,IN,Bell,31,Advertising executive,Leicester,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
Joanne,2,5,6,IN,NA,NA,NA,NA,NA,NA
Mary-Anne,2,5,2,IN,Boermans,45,Housewife,"Kidderminster, Worcestershire",Chicken and Bacon Pie,Midnight Meringue
Yasmin,2,5,5,IN,Limbert,43,Childminder,"West Kirby, The Wirral",Family Fish Pie,Peach and Raspberry Meringue Pie
Jason,2,5,7,OUT,White,19,Civil Engineering Student,Croydon,Brown Down Chicken Pie,Plum Meringue Pie
Robert,2,5,3,OUT,Billington,25,Photographer,London,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie
Janet,2,5,1,STAR BAKER,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Chicken and Chestnut Pie,Rhubarb Meringue Pie
Ben,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Ian,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Holly,2,6,3,IN,Bell,31,Advertising executive,Leicester,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
Janet,2,6,5,IN,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
Mary-Anne,2,6,4,IN,Boermans,45,Housewife,"Kidderminster, Worcestershire",Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel
Yasmin,2,6,2,OUT,Limbert,43,Childminder,"West Kirby, The Wirral",Baked Amaretto Cheesecake,Rose Croquembouche
Joanne,2,6,1,STAR BAKER,NA,NA,NA,NA,NA,NA
Ben,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Ian,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Jason,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Robert,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Holly,2,7,1,IN,Bell,31,Advertising executive,Leicester,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
Joanne,2,7,3,IN,NA,NA,NA,NA,NA,NA
Mary-Anne,2,7,2,IN,Boermans,45,Housewife,"Kidderminster, Worcestershire",Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
Janet,2,7,4,OUT,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat
Ben,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Ian,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Jason,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Robert,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Yasmin,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Holly,2,8,2,Runner-up,Bell,31,Advertising executive,Leicester,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
Mary-Anne,2,8,3,Runner-up,Boermans,45,Housewife,"Kidderminster, Worcestershire",Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
Joanne,2,8,1,WINNER,NA,NA,NA,NA,NA,NA
Ben,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Ian,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Janet,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Jason,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Robert,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Yasmin,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Brendan,3,1,10,IN,Lynch,63,Recruitment consultant,Sutton Coldfield,"Plum, Sour Cherry & Walnut",NA
Cathryn,3,1,5,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Apple, Hazelnut and Calvados",Hidden Cupcake Cake
Danny,3,1,7,IN,Bryden,45,Intensive care consultant,Sheffield,"Plum, Ginger & Orange",NA
James,3,1,2,IN,Morton,21,Medical student,"Hillswick, Shetland Islands","Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake"
John,3,1,11,IN,Whaite,22,Law student,Wigan,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake
Manisha,3,1,6,IN,Parmar,27,Nursery nurse,Leicester,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
Peter,3,1,3,IN,Maloney,43,Sales manager,"Windsor, Berkshire","Pear, Muscat & Chocolate",Jubilee Cake
Ryan,3,1,8,IN,Chong,38,Photographer,Bristol,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake
Sarah-Jane,3,1,1,IN,Willis,28,Vicar's wife,"Bewbush, West Sussex","Pear, Chocolate and Hazelnut",Hidden Crown Cake
Stuart,3,1,9,IN,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",Tomato and Ginger,Lemon and Pistachio Union Flag Cake
Natasha,3,1,12,OUT,Stringer,36,Midwife,"Tamworth, Staffordshire",Pineapple & Passion Fruit,Mother's Day Layered Rose Cake
Victoria,3,1,4,STAR BAKER,Chester,50,CEO of the charity Plantlife,Somerset,Pear and Pecan,Blackbird Pie Cake
Brendan,3,2,4,IN,Lynch,63,Recruitment consultant,Sutton Coldfield,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
Cathryn,3,2,8,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
Danny,3,2,3,IN,Bryden,45,Intensive care consultant,Sheffield,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,NA
James,3,2,2,IN,Morton,21,Medical student,"Hillswick, Shetland Islands","Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
Manisha,3,2,6,IN,Parmar,27,Nursery nurse,Leicester,Indian FlatbreadsItalian Flatbreads,NA
Ryan,3,2,5,IN,Chong,38,Photographer,Bristol,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
Sarah-Jane,3,2,10,IN,Willis,28,Vicar's wife,"Bewbush, West Sussex",Toasted Coconut and Lime RotisOatcakes,NA
Stuart,3,2,9,IN,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
Victoria,3,2,7,IN,Chester,50,CEO of the charity Plantlife,Somerset,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels"
Peter,3,2,11,OUT,Maloney,43,Sales manager,"Windsor, Berkshire",Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
John,3,2,1,STAR BAKER,Whaite,22,Law student,Wigan,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
Natasha,3,2,NA,NA,NA,NA,NA,NA,NA,NA
Brendan,3,3,9,IN,Lynch,63,Recruitment consultant,Sutton Coldfield,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
Cathryn,3,3,3,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
Danny,3,3,2,IN,Bryden,45,Intensive care consultant,Sheffield,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart"
John,3,3,6,IN,Whaite,22,Law student,Wigan,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
Manisha,3,3,10,IN,Parmar,27,Nursery nurse,Leicester,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart
Ryan,3,3,5,IN,Chong,38,Photographer,Bristol,Spiced Pear Tarte Tatin,NA
Sarah-Jane,3,3,8,IN,Willis,28,Vicar's wife,"Bewbush, West Sussex",Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam
Stuart,3,3,7,IN,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart
Victoria,3,3,4,OUT,Chester,50,CEO of the charity Plantlife,Somerset,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust
James,3,3,1,STAR BAKER,Morton,21,Medical student,"Hillswick, Shetland Islands",Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart"
Natasha,3,3,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,3,NA,NA,NA,NA,NA,NA,NA,NA
Cathryn,3,4,3,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
Danny,3,4,2,IN,Bryden,45,Intensive care consultant,Sheffield,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
James,3,4,5,IN,Morton,21,Medical student,"Hillswick, Shetland Islands","Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
John,3,4,6,IN,Whaite,22,Law student,Wigan,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova
Manisha,3,4,9,IN,Parmar,27,Nursery nurse,Leicester,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert
Ryan,3,4,7,IN,Chong,38,Photographer,Bristol,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue"
Sarah-Jane,3,4,4,IN,Willis,28,Vicar's wife,"Bewbush, West Sussex",Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue
Stuart,3,4,8,OUT,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",Black Forest Torte,Choca Blocka Mocha Meringue
Brendan,3,4,1,STAR BAKER,Lynch,63,Recruitment consultant,Sutton Coldfield,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
Natasha,3,4,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,4,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,4,NA,NA,NA,NA,NA,NA,NA,NA
Brendan,3,5,3,IN,Lynch,63,Recruitment consultant,Sutton Coldfield,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
Cathryn,3,5,1,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
Danny,3,5,7,IN,Bryden,45,Intensive care consultant,Sheffield,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
James,3,5,6,IN,Morton,21,Medical student,"Hillswick, Shetland Islands",Four Pig Wellington,Sweet Potato Pie
John,3,5,2,IN,Whaite,22,Law student,Wigan,Venison and Haggis Wellington,Star-Spangled Pecan Pie
Sarah-Jane,3,5,4,IN,Willis,28,Vicar's wife,"Bewbush, West Sussex",Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie
Manisha,3,5,5,OUT,Parmar,27,Nursery nurse,Leicester,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie
Ryan,3,5,8,STAR BAKER,Chong,38,Photographer,Bristol,Curry Spiced Seabass Wellington,Key Lime Pie
Natasha,3,5,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,5,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,5,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,5,NA,NA,NA,NA,NA,NA,NA,NA
Cathryn,3,6,3,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel
Danny,3,6,2,IN,Bryden,45,Intensive care consultant,Sheffield,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
James,3,6,7,IN,Morton,21,Medical student,"Hillswick, Shetland Islands",Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel"
John,3,6,5,IN,Whaite,22,Law student,Wigan,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury
Ryan,3,6,6,IN,Chong,38,Photographer,Bristol,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
Sarah-Jane,3,6,4,IN,Willis,28,Vicar's wife,"Bewbush, West Sussex",Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries
Brendan,3,6,1,STAR BAKER,Lynch,63,Recruitment consultant,Sutton Coldfield,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
Manisha,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Brendan,3,7,4,IN,Lynch,63,Recruitment consultant,Sutton Coldfield,Chelsea Bunskis,Black Forest Christmas Stollen
Cathryn,3,7,5,IN,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche
James,3,7,1,IN,Morton,21,Medical student,"Hillswick, Shetland Islands",Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba
John,3,7,3,IN,Whaite,22,Law student,Wigan,Cherry and Almond Saffron Buns,Marzipan Stollen
Ryan,3,7,6,OUT,Chong,38,Photographer,Bristol,Lardy Cakes,Char Siu Bao
